samples,eens_kwh,cvar_kwh,positive_scenarios
362,9.696157486034377,193.92314972068738,4
363,9.6694463083869,193.38892616773782,4
364,9.64288189545177,192.85763790903525,4
365,9.616463040943684,192.32926081887348,4
366,9.590188551760777,191.8037710352154,4
367,9.564057247805026,191.28114495610035,4
368,9.538067961805556,190.76135923611096,4
369,9.512219539144837,190.24439078289655,4
370,9.486510837687689,189.73021675375358,4
371,9.460940727613059,189.21881455226102,4
372,9.435508091248508,188.71016182497,4
373,9.410211822907359,188.204236458147,4
374,9.385050828728462,187.70101657456905,4
375,9.360024026518518,187.2004805303702,4
376,9.335130345596927,186.70260691193837,4
377,9.31036872664309,186.20737453286162,4
378,9.28573812154615,185.71476243092283,4
379,9.26123749325711,185.22474986514203,4
380,9.236865815643275,184.73731631286535,4
381,9.212622073344999,184.2524414668998,4
382,9.188505261634672,183.77010523269328,4
383,9.164514386277924,183.2902877255583,4
384,9.14064846339699,182.81296926793965,4
385,9.11690651933622,182.33813038672423,4
386,9.09328759052965,181.86575181059283,4
387,9.069790723370659,181.395814467413,4
388,9.04641497408362,180.92829948167224,4
389,9.023159408597545,180.46318817195072,4
390,9.000023102421652,180.0004620484329,4
391,8.977005140522877,179.54010281045737,4
392,8.954104617205216,179.08209234410418,4
393,8.931320635990954,178.62641271981892,4
394,8.908652309503667,178.17304619007317,4
395,8.886098759353024,177.72197518706034,4
396,8.863659116021324,177.27318232042634,4
397,8.84133251875175,176.82665037503483,4
398,8.819118115438304,176.38236230876592,4
399,8.797015062517405,175.94030125034794,4
400,8.775022524861111,175.5004504972221,4
401,8.753139675671932,175.06279351343846,4
402,8.731365696379216,174.62731392758414,4
403,8.709699776537084,174.19399553074152,4
404,8.688141113723873,173.76282227447732,4
405,8.666688913443073,173.33377826886132,4
406,8.645342389025727,172.90684778051437,4
407,8.624100761534262,172.48201523068508,4
408,8.602963259667757,172.05926519335497,4
409,8.581929119668569,171.63858239337122,4
410,8.560997585230353,171.2199517046069,4
411,8.540167907407408,170.803358148148,4
412,8.51943934452535,170.38878689050685,4
413,8.498811162093086,169.97622324186156,4
414,8.47828263271605,169.56565265432087,4
415,8.45785303601071,169.15706072021405,4
416,8.4375216585203,168.75043317040584,4
417,8.417287793631761,168.34575587263507,4
418,8.397150741493887,167.94301482987757,4
419,8.377109808936622,167.5421961787323,4
420,8.357164309391536,167.14328618783057,4
421,8.337313562813408,166.74627125626802,4
422,8.31755689560295,166.35113791205885,4
423,8.297893640530601,165.9578728106119,4
424,8.278323136661426,165.56646273322838,4
425,8.258844729281046,165.17689458562077,4
426,8.23945776982264,164.78915539645266,4
427,8.220161615794952,164.4032323158989,4
428,8.20095563071132,164.01911261422623,4
429,8.181839184019685,163.63678368039353,4
430,8.162811651033593,163.25623302067171,4
431,8.143872412864141,162.87744825728268,4
432,8.125020856352881,162.5004171270575,4
433,8.106256374005646,162.12512748011278,4
434,8.087578363927292,161.75156727854568,4
435,8.068986229757344,161.37972459514674,4
436,8.050479380606525,161.00958761213036,4
437,8.032057230994152,160.6411446198829,4
438,8.013719200786403,160.27438401572792,4
439,7.995464715135409,159.90929430270805,4
440,7.977293204419192,159.5458640883837,4
441,7.959204104182414,159.18408208364815,4
442,7.941196855077929,158.82393710155844,4
443,7.92327090280913,158.46541805618247,4
444,7.905425698073073,158.1085139614613,4
445,7.88766069650437,157.75321393008724,4
446,7.869975358619831,157.39950717239648,4
447,7.852369149763859,157.04738299527702,4
448,7.834841540054564,156.69683080109115,4
449,7.817392004330611,156.34784008661208,4
450,7.800020022098765,156.00040044197516,4
451,8.207411576619858,164.148231532397,5
452,8.189253586406096,163.78507172812178,5
453,8.17117576391955,163.42351527839082,5
454,8.153177579417523,163.06355158835032,5
455,8.135258507814408,162.705170156288,5
456,8.117418028630604,162.34836057261197,5
457,8.099655625942136,161.99311251884257,5
458,8.081970788330908,161.63941576661801,5
459,8.064363008835633,161.28726017671252,5
460,8.046831784903382,160.93663569806748,5
461,8.02937661834177,160.58753236683523,5
462,8.011997015271765,160.23994030543517,5
463,7.994692486081114,159.89384972162213,5
464,7.977462545378352,159.54925090756691,5
465,7.960306711947432,159.2061342389485,5
466,7.943224508702909,158.86449017405803,5
467,7.92621546264573,158.52430925291446,5
468,7.909279104819563,158.18558209639113,5
469,7.892414970267709,157.84829940535406,5
470,7.875622597990544,157.51245195981073,5
471,7.858901530903515,157.17803061807015,5
472,7.842251315795669,156.84502631591323,5
473,7.825671503288701,156.5134300657739,5
474,7.809161647796531,156.1832329559305,5
475,7.7927213074853805,155.85442614970748,5
476,7.776350044234361,155.52700088468706,5
477,7.760047423596553,155.2009484719309,5
478,7.743813014760577,154.8762602952114,5
479,7.727646390512642,154.55292781025273,5
480,7.711547127199074,154.23094254398134,5
481,7.695514804689305,153.91029609378595,5
482,7.679549006339327,153.5909801267864,5
483,7.663649318955602,153.2729863791119,5
484,7.6478153327594125,152.95630665518811,5
485,7.632046641351661,152.64093282703308,5
486,7.616342841678098,152.32685683356183,5
487,7.600703533994981,152.01407067989948,5
488,7.585128321835155,151.70256643670297,5
489,7.5696168119745515,151.3923362394909,5
490,7.554168614399093,151.08337228798172,5
491,7.538783342272008,150.77566684544,5
492,7.523460611901536,150.46921223803056,5
493,7.508200042709038,150.1640008541806,5
494,7.493001257197481,149.86002514394949,5
495,7.477863880920315,149.55727761840615,5
496,7.462787542450717,149.25575084901422,5
497,7.447771873351218,148.95543746702424,5
498,7.432816508143686,148.6563301628736,5
499,7.417921084279671,148.3584216855933,5
500,7.4030852421111115,148.0617048422221,5
501,7.388308624861389,147.76617249722764,5
502,7.373590878596724,147.47181757193437,5
503,7.358931652197923,147.17863304395834,5
504,7.344330597332451,146.88661194664888,5
505,7.329787368426842,146.59574736853673,5
506,7.315301622639438,146.30603245278863,5
507,7.300873019833443,146.01746039666872,5
