samples,eens_kwh,cvar_kwh,positive_scenarios
603,3.39711258516676,67.94225170333513,2
604,3.3914882265820454,67.82976453164085,2
605,3.385882460918273,67.7176492183654,2
606,3.380295196131281,67.60590392262556,2
607,3.374726340783453,67.494526815669,2
608,3.3691758040387425,67.3835160807748,2
609,3.3636434956577266,67.27286991315447,2
610,3.3581293259927145,67.16258651985423,2
611,3.352633205982907,67.05266411965809,2
612,3.3471550471496014,66.94310094299198,2
613,3.341694761591445,66.83389523182883,2
614,3.3362522619797312,66.72504523959456,2
615,3.33082746155375,66.61654923107494,2
616,3.325420274116162,66.50840548232318,2
617,3.320030614028454,66.40061228056902,2
618,3.3146583962064007,66.29316792412796,2
619,3.309303536115599,66.18607072231192,2
620,3.303965949767024,66.07931899534042,2
621,3.29864555371265,65.97291107425295,2
622,3.293342265041086,65.86684530082167,2
623,3.2880560013732842,65.76112002746562,2
624,3.282786680858263,65.6557336171652,2
625,3.2775342221688883,65.5506844433777,2
626,3.2722985444976924,65.44597088995378,2
627,3.26707956755272,65.34159135105435,2
628,3.2618772115534327,65.2375442310686,2
629,3.2566913972266387,65.13382794453271,2
630,3.2515220458024694,65.03044091604933,2
631,3.24636907901039,64.92738158020774,2
632,3.241232419075246,64.82464838150487,2
633,3.236111988713358,64.72223977426711,2
634,3.231007711128637,64.62015422257268,2
635,3.225919510008749,64.51839020017492,2
636,3.2208473095213144,64.41694619042623,2
637,3.2157910343101337,64.31582068620261,2
638,3.210750609491466,64.21501218982927,2
639,3.205725960650322,64.11451921300639,2
640,3.2007170138368064,64.01434027673606,2
641,3.1957236955624895,63.914473911249736,2
642,3.1907459327968155,63.81491865593625,2
643,3.18578365296354,63.71567305927074,2
644,3.180836783937199,63.61673567874392,2
645,3.175905254039621,63.51810508079237,2
646,3.170988992036463,63.419779840729205,2
647,3.1660879271337796,63.32175854267554,2
648,3.161201988974623,63.2240397794924,2
649,3.156331107635679,63.12662215271352,2
650,3.1514752136239306,63.029504272478555,2
651,3.146634237873358,62.93268475746711,2
652,3.14180811174165,62.83616223483294,2
653,3.136996767006975,62.739935340139446,2
654,3.132200135864763,62.64400271729521,2
655,3.1274181509245125,62.54836301849019,2
656,3.1226507452066405,62.45301490413276,2
657,3.117897852139354,62.35795704278702,2
658,3.113159405555556,62.26318811111106,2
659,3.108435339689765,62.16870679379524,2
660,3.1037255891750855,62.074511783501656,2
661,3.099030089040175,61.98060178080345,2
662,3.094348774706278,61.8869754941255,2
663,3.089681581984247,61.79363163968489,2
664,3.085028447071621,61.700568941432365,2
665,3.0803893065497077,61.6077861309941,2
666,3.075764097380714,61.51528194761423,2
667,3.0711527569048815,61.423055138097574,2
668,3.0665552228376582,61.33110445675311,2
669,3.0619714332668995,61.23942866533793,2
670,3.057401326650084,61.14802653300163,2
671,3.0528448418115586,61.05689683623112,2
672,3.048301917939815,60.96603835879625,2
673,3.043772494584778,60.87544989169551,2
674,3.039256511655128,60.78513023310251,2
675,3.034753909415638,60.695078188312706,2
676,3.0302646284845487,60.60529256969092,2
677,3.025788609830954,60.515772196619025,2
678,3.0213257947722063,60.42651589544407,2
679,3.016876124971363,60.3375224994272,2
680,3.012439542434641,60.248790848692764,2
681,3.008015989508893,60.1603197901778,2
682,3.003605408879113,60.07210817758221,2
683,2.999207743565967,59.98415487131929,2
684,2.9948229369233275,59.8964587384665,2
685,2.9904509326358477,59.8090186527169,2
686,2.986091674716553,59.72183349433101,2
687,2.9817451075044463,59.63490215008888,2
688,2.9774111756621453,59.54822351324285,2
