samples,EENS_kwh,CVaR95_kwh
286,15.350250582867133,307.00501165734266
287,15.296765389198606,305.9353077839721
288,15.243651620486112,304.8730324097222
289,15.190905421107267,303.8181084221453
290,15.13852298862069,302.7704597724138
291,15.086500572852234,301.73001145704467
292,15.034834475,300.6966895
293,14.98352104675768,299.6704209351536
294,14.932556689455783,298.65113378911565
295,14.88193785322034,297.6387570644068
296,14.831661036148649,296.63322072297296
297,14.781722783501683,295.6344556700337
298,14.732119686912752,294.642393738255
299,14.68284838361204,293.6569676722408
300,14.633905555666667,292.67811111333333
301,14.58528792923588,291.7057585847176
302,14.53699227384106,290.7398454768212
303,14.489015401650166,289.7803080330033
304,14.441354166776316,288.8270833355263
305,14.394005464590164,287.8801092918033
306,14.346966231045752,286.93932462091504
307,14.300233442019545,286.0046688403909
308,14.253804112662339,285.07608225324674
309,14.988322545954691,299.76645091909387
310,15.020424731290323,300.4084946258065
311,14.972127545659164,299.4425509131833
312,14.924139957371795,298.4827991474359
313,14.876458999041533,297.5291799808307
314,14.829081741082803,296.5816348216561
315,14.78200529111111,295.64010582222227
316,14.73522679335443,294.7045358670886
317,14.688743428075709,293.7748685615142
318,14.642552411006289,292.85104822012585
319,14.596650992789968,291.9330198557994
320,14.5510364584375,291.02072916874994
321,14.505706126791276,290.11412253582546
322,14.46065735,289.21314699999994
323,15.720918472755416,314.4183694551083
324,15.672397119444444,313.44794238888886
325,15.624174359076921,312.4834871815384
326,15.576247443865029,311.5249488773006
327,20.44317023455658,408.86340469113145
328,20.380843496036587,407.61686992073163
329,20.318895643465048,406.3779128693009
330,20.257323232424245,405.1464646484848
331,20.19612286012085,403.9224572024169
332,20.13529116475904,402.70582329518066
333,20.074824824924928,401.49649649849846
334,20.014720558982038,400.29441117964075
335,19.954975124477613,399.0995024895522
336,19.895585317559526,397.91170635119045
337,19.836547972403565,396.7309594480712
338,19.77785996065089,395.5571992130177
339,19.71951819085546,394.3903638171092
340,19.66151960794118,393.2303921588235
341,19.603861192668624,392.0772238533724
342,19.546539961111115,390.93079922222216
343,19.489552964139943,389.79105928279876
344,19.432897286918607,388.6579457383721
345,19.3765700484058,387.5314009681159
346,19.320568400867053,386.41136801734103
347,19.264889529394814,385.2977905878962
348,19.209530651436783,384.1906130287356
349,19.15448901633238,383.0897803266476
350,19.099761904857147,381.9952380971429
351,19.045346628774933,380.90693257549856
352,18.99124053039773,379.82481060795453
353,18.937440982152978,378.74881964305945
354,18.883945386158196,377.67890772316383
355,18.83075117380282,376.6150234760563
356,18.77785580533708,375.55711610674155
357,18.72525676946779,374.5051353893557
358,18.672951582960895,373.4590316592178
359,18.6209377902507,372.4187558050139
360,18.56921296305556,371.3842592611111
361,18.517774700000004,370.35549399999996
362,18.466620626243095,369.33241252486187
363,18.41574839311295,368.3149678622589
364,18.365155677747254,367.30311355494507
365,18.31484018273973,366.29680365479453
366,18.26479963579235,365.295992715847
367,18.2150317893733,364.3006357874659
368,18.165534420380435,363.31068840760867
369,18.1163053298103,362.326106596206
370,18.067342342432436,361.3468468486486
371,18.018643306469006,360.37286612938004
372,17.97020609327957,359.4041218655914
373,17.92202859705094,358.44057194101873
374,17.87410873449198,357.4821746898396
375,17.826444444533337,356.5288888906667
376,17.779033688031916,355.58067376063826
377,17.73187444748011,354.6374889496021
378,17.684964726719578,353.69929453439147
379,17.63830255065963,352.7660510131926
380,17.591885965000003,351.8377193
381,17.56686789160105,351.337357832021
382,17.520881326439792,350.4176265287958
383,17.4751349,349.50269799999995
384,17.429626736197918,348.5925347239583
385,17.38435497844156,347.6870995688312
386,17.33931778937824,346.7863557875648
387,17.294513350645996,345.8902670129199
388,17.249939862628867,344.9987972525773
389,17.20559554421594,344.1119108843187
390,17.161478632564105,343.22957265128207
391,17.11758738286445,342.351747657289
392,17.073920068112244,341.4784013622449
393,17.03047497888041,340.6094995776081
394,16.987250423096448,339.7450084619289
395,16.944244725822784,338.8848945164557
396,16.901456229040406,338.02912458080806
397,16.85888329143577,337.17766582871536
398,16.816524288190955,336.33048576381907
399,16.804327485463656,336.08654970927313
400,16.76231666675,335.24633333500003
401,16.72051537830424,334.4103075660848
402,16.67892205646766,333.5784411293532
403,16.637535153101734,332.7507030620347
404,16.596353135396036,331.92706270792075
405,16.55537448567901,331.10748971358026
406,16.514597701231526,330.2919540246305
407,17.137977068058966,342.75954136117934
408,17.09597222230392,341.91944444607844
409,17.054172779217602,341.08345558435207
410,17.01257723585366,340.2515447170732
411,16.971184103892945,339.4236820778589
412,16.92999190946602,338.5998381893204
413,16.888999192978208,337.77998385956414
414,16.848204508937197,336.96409017874396
415,16.80760642578313,336.1521285156627
416,16.767203525721154,335.3440705144231
417,16.726994404556354,334.5398880911271
418,16.6869776715311,333.739553430622
419,16.647151949164677,332.94303898329355
420,16.607515873095238,332.1503174619048
421,16.56806809192399,331.3613618384798
422,16.528807267061612,330.57614534123223
423,16.48973207257683,329.7946414515366
